,year_judgment,dircode,count
0,2010,1.0,29
1,2011,1.0,28
2,2012,1.0,48
3,2013,1.0,59
4,2014,1.0,82
5,2015,1.0,74
6,2016,1.0,87
7,2017,1.0,62
8,2018,1.0,65
9,2019,1.0,48
10,2020,1.0,45
11,2021,1.0,66
12,2022,1.0,89
13,2023,1.0,60
14,2010,2.0,9
15,2011,2.0,13
16,2012,2.0,16
17,2013,2.0,10
18,2014,2.0,15
19,2015,2.0,19
20,2016,2.0,16
21,2017,2.0,18
22,2018,2.0,18
23,2019,2.0,8
24,2020,2.0,7
25,2021,2.0,16
26,2022,2.0,15
27,2023,2.0,13
28,2010,3.0,33
29,2011,3.0,17
30,2012,3.0,41
31,2013,3.0,85
32,2014,3.0,87
33,2015,3.0,93
34,2016,3.0,93
35,2017,3.0,43
36,2018,3.0,56
37,2019,3.0,28
38,2020,3.0,15
39,2021,3.0,31
40,2022,3.0,47
41,2023,3.0,32
42,2010,4.0,212
43,2011,4.0,203
44,2012,4.0,231
45,2013,4.0,257
46,2014,4.0,274
47,2015,4.0,277
48,2016,4.0,285
49,2017,4.0,300
50,2018,4.0,329
51,2019,4.0,214
52,2020,4.0,164
53,2021,4.0,207
54,2022,4.0,338
55,2023,4.0,255
56,2010,6.0,15
57,2011,6.0,14
58,2012,6.0,11
59,2013,6.0,11
60,2014,6.0,14
61,2015,6.0,7
62,2016,6.0,11
63,2017,6.0,7
64,2018,6.0,11
65,2019,6.0,8
66,2020,6.0,2
67,2021,6.0,8
68,2022,6.0,5
69,2023,6.0,4
70,2010,7.0,0
71,2011,7.0,2
72,2012,7.0,1
73,2013,7.0,1
74,2014,7.0,0
75,2015,7.0,0
76,2016,7.0,1
77,2017,7.0,2
78,2018,7.0,4
79,2019,7.0,1
80,2020,7.0,1
81,2021,7.0,1
82,2022,7.0,2
83,2023,7.0,0
84,2010,8.0,1
85,2011,8.0,1
86,2012,8.0,4
87,2013,8.0,0
88,2014,8.0,0
89,2015,8.0,3
90,2016,8.0,1
91,2017,8.0,1
92,2018,8.0,4
93,2019,8.0,0
94,2020,8.0,0
95,2021,8.0,0
96,2022,8.0,0
97,2023,8.0,1
98,2010,9.0,0
99,2011,9.0,1
100,2012,9.0,2
101,2013,9.0,2
102,2014,9.0,0
103,2015,9.0,3
104,2016,9.0,0
105,2017,9.0,1
106,2018,9.0,0
107,2019,9.0,0
108,2020,9.0,0
109,2021,9.0,3
110,2022,9.0,1
111,2023,9.0,1
